pokedex_number,name,region,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles
103,Alolan Exeggutor,Kanto,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,530,95,105,85,125,75,45,45,70,186,Slow,1,Grass,,50,20
104,Cubone,Kanto,1,Normal,Lonely Pokémon,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35,190,70,64,Medium Fast,1,Monster,,50,20
105,Marowak,Kanto,1,Normal,Bone Keeper Pokémon,1,Ground,,1,45,3,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45,75,70,149,Medium Fast,1,Monster,,50,20
105,Alolan Marowak,Kanto,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1,34,3,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,50,80,45,75,70,149,Medium Fast,1,Monster,,50,20
106,Hitmonlee,Kanto,1,Normal,Kicking Pokémon,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,455,50,120,53,35,110,87,45,70,159,Medium Fast,1,Human-Like,,100,25
107,Hitmonchan,Kanto,1,Normal,Punching Pokémon,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76,45,70,159,Medium Fast,1,Human-Like,,100,25
108,Lickitung,Kanto,1,Normal,Licking Pokémon,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30,45,70,77,Medium Fast,1,Monster,,50,20
109,Koffing,Kanto,1,Normal,Poison Gas Pokémon,1,Poison,,0.6,1,3,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35,190,70,68,Medium Fast,1,Amorphous,,50,20
110,Weezing,Kanto,1,Normal,Poison Gas Pokémon,1,Poison,,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60,60,70,172,Medium Fast,1,Amorphous,,50,20
110,Galarian Weezing,Kanto,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3,16,3,Levitate,Neutralizing Gas,Misty Surge,490,65,90,120,85,70,60,,,,Medium Fast,1,Amorphous,,,20
111,Rhyhorn,Kanto,1,Normal,Spikes Pokémon,2,Ground,Rock,1,115,3,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25,120,70,69,Slow,2,Field,Monster,50,20
112,Rhydon,Kanto,1,Normal,Drill Pokémon,2,Ground,Rock,1.9,120,3,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40,60,70,170,Slow,2,Field,Monster,50,20
113,Chansey,Kanto,1,Normal,Egg Pokémon,1,Normal,,1.1,34.6,3,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50,30,140,395,Fast,1,Fairy,,0,40
114,Tangela,Kanto,1,Normal,Vine Pokémon,1,Grass,,1,35,3,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60,45,70,87,Medium Fast,1,Grass,,50,20
115,Kangaskhan,Kanto,1,Normal,Parent Pokémon,1,Normal,,2.2,80,3,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90,45,70,172,Medium Fast,1,Monster,,0,20
115,Mega Kangaskhan,Kanto,1,Normal,Parent Pokémon,1,Normal,,2.2,100,1,Parental Bond,,,590,105,125,100,60,100,100,45,70,207,Medium Fast,1,Monster,,0,20
116,Horsea,Kanto,1,Normal,Dragon Pokémon,1,Water,,0.4,8,3,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60,225,70,59,Medium Fast,2,Dragon,Water 1,50,20
117,Seadra,Kanto,1,Normal,Dragon Pokémon,1,Water,,1.2,25,3,Poison Point,Sniper,Damp,440,55,65,95,95,45,85,75,70,154,Medium Fast,2,Dragon,Water 1,50,20
118,Goldeen,Kanto,1,Normal,Goldfish Pokémon,1,Water,,0.6,15,3,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63,225,70,64,Medium Fast,1,Water 2,,50,20
119,Seaking,Kanto,1,Normal,Goldfish Pokémon,1,Water,,1.3,39,3,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68,60,70,158,Medium Fast,1,Water 2,,50,20
120,Staryu,Kanto,1,Normal,Star Shape Pokémon,1,Water,,0.8,34.5,3,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85,225,70,68,Slow,1,Water 3,,,20
121,Starmie,Kanto,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80,3,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115,60,70,182,Slow,1,Water 3,,,20
122,Mr. Mime,Kanto,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,460,40,45,65,100,120,90,45,70,161,Medium Fast,1,Human-Like,,50,25
122,Galarian Mr. Mime,Kanto,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,460,50,65,65,90,90,100,,,,Medium Fast,1,Human-Like,,,25
123,Scyther,Kanto,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56,3,Swarm,Technician,Steadfast,500,70,110,80,55,80,105,45,70,100,Medium Fast,1,Bug,,50,25
124,Jynx,Kanto,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,455,65,50,35,115,95,95,45,70,159,Medium Fast,1,Human-Like,,0,25
125,Electabuzz,Kanto,1,Normal,Electric Pokémon,1,Electric,,1.1,30,2,Static,,Vital Spirit,490,65,83,57,95,85,105,45,70,172,Medium Fast,1,Human-Like,,75,25
126,Magmar,Kanto,1,Normal,Spitfire Pokémon,1,Fire,,1.3,44.5,2,Flame Body,,Vital Spirit,495,65,95,57,100,85,93,45,70,173,Medium Fast,1,Human-Like,,75,25
127,Pinsir,Kanto,1,Normal,Stag Beetle Pokémon,1,Bug,,1.5,55,3,Hyper Cutter,Mold Breaker,Moxie,500,65,125,100,55,70,85,45,70,175,Slow,1,Bug,,50,25
127,Mega Pinsir,Kanto,1,Normal,Stag Beetle Pokémon,2,Bug,Flying,1.7,59,1,Aerilate,,,600,65,155,120,65,90,105,45,70,210,Slow,1,Bug,,50,25
128,Tauros,Kanto,1,Normal,Wild Bull Pokémon,1,Normal,,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,490,75,100,95,40,70,110,45,70,172,Slow,1,Field,,100,20
129,Magikarp,Kanto,1,Normal,Fish Pokémon,1,Water,,0.9,10,2,Swift Swim,,Rattled,200,20,10,55,15,20,80,255,70,40,Slow,2,Dragon,Water 2,50,5
130,Gyarados,Kanto,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235,2,Intimidate,,Moxie,540,95,125,79,60,100,81,45,70,189,Slow,2,Dragon,Water 2,50,5
130,Mega Gyarados,Kanto,1,Normal,Atrocious Pokémon,2,Water,Dark,6.5,305,1,Mold Breaker,,,640,95,155,109,70,130,81,45,70,224,Slow,2,Dragon,Water 2,50,5
131,Lapras,Kanto,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220,3,Water Absorb,Shell Armor,Hydration,535,130,85,80,85,95,60,45,70,187,Slow,2,Monster,Water 1,50,40
132,Ditto,Kanto,1,Normal,Transform Pokémon,1,Normal,,0.3,4,2,Limber,,Imposter,288,48,48,48,48,48,48,35,70,101,Medium Fast,1,Ditto,,,20
133,Eevee,Kanto,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,3,Run Away,Adaptability,Anticipation,325,55,55,50,45,65,55,45,70,65,Medium Fast,1,Field,,87.5,35
133,Partner Eevee,Kanto,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,1,,,Anticipation,435,65,75,70,65,85,75,45,70,65,Medium Fast,0,,,87.5,35
134,Vaporeon,Kanto,1,Normal,Bubble Jet Pokémon,1,Water,,1,29,2,Water Absorb,,Hydration,525,130,65,60,110,95,65,45,70,184,Medium Fast,1,Field,,87.5,35
135,Jolteon,Kanto,1,Normal,Lightning Pokémon,1,Electric,,0.8,24.5,2,Volt Absorb,,Quick Feet,525,65,65,60,110,95,130,45,70,184,Medium Fast,1,Field,,87.5,35
136,Flareon,Kanto,1,Normal,Flame Pokémon,1,Fire,,0.9,25,2,Flash Fire,,Guts,525,65,130,60,95,110,65,45,70,184,Medium Fast,1,Field,,87.5,35
137,Porygon,Kanto,1,Normal,Virtual Pokémon,1,Normal,,0.8,36.5,3,Trace,Download,Analytic,395,65,60,70,85,75,40,45,70,79,Medium Fast,1,Mineral,,,20
138,Omanyte,Kanto,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,355,35,40,100,90,55,35,45,70,71,Medium Fast,2,Water 1,Water 3,87.5,30
139,Omastar,Kanto,1,Normal,Spiral Pokémon,2,Rock,Water,1,35,3,Swift Swim,Shell Armor,Weak Armor,495,70,60,125,115,70,55,45,70,173,Medium Fast,2,Water 1,Water 3,87.5,30
140,Kabuto,Kanto,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,355,30,80,90,55,45,55,45,70,71,Medium Fast,2,Water 1,Water 3,87.5,30
141,Kabutops,Kanto,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,495,60,115,105,65,70,80,45,70,173,Medium Fast,2,Water 1,Water 3,87.5,30
142,Aerodactyl,Kanto,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59,3,Rock Head,Pressure,Unnerve,515,80,105,65,60,75,130,45,70,180,Slow,1,Flying,,87.5,35
142,Mega Aerodactyl,Kanto,1,Normal,Fossil Pokémon,2,Rock,Flying,2.1,79,1,Tough Claws,,,615,80,135,85,70,95,150,45,70,215,Slow,1,Flying,,87.5,35
143,Snorlax,Kanto,1,Normal,Sleeping Pokémon,1,Normal,,2.1,460,3,Immunity,Thick Fat,Gluttony,540,160,110,65,65,110,30,25,70,189,Slow,1,Monster,,87.5,40
144,Articuno,Kanto,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,,Snow Cloak,580,90,85,100,95,125,85,3,35,261,Slow,1,Undiscovered,,,80
145,Zapdos,Kanto,1,Sub Legendary,Electric Pokémon,2,Electric,Flying,1.6,52.6,2,Pressure,,Static,580,90,90,85,125,90,100,3,35,261,Slow,1,Undiscovered,,,80
146,Moltres,Kanto,1,Sub Legendary,Flame Pokémon,2,Fire,Flying,2,60,2,Pressure,,Flame Body,580,90,100,90,125,85,90,3,35,261,Slow,1,Undiscovered,,,80
147,Dratini,Kanto,1,Normal,Dragon Pokémon,1,Dragon,,1.8,3.3,2,Shed Skin,,Marvel Scale,300,41,64,45,50,50,50,45,35,60,Slow,2,Dragon,Water 1,50,40
148,Dragonair,Kanto,1,Normal,Dragon Pokémon,1,Dragon,,4,16.5,2,Shed Skin,,Marvel Scale,420,61,84,65,70,70,70,45,35,147,Slow,2,Dragon,Water 1,50,40
149,Dragonite,Kanto,1,Normal,Dragon Pokémon,2,Dragon,Flying,2.2,210,2,Inner Focus,,Multiscale,600,91,134,95,100,100,80,45,35,270,Slow,2,Dragon,Water 1,50,40
150,Mewtwo,Kanto,1,Legendary,Genetic Pokémon,1,Psychic,,2,122,2,Pressure,,Unnerve,680,106,110,90,154,90,130,3,0,306,Slow,1,Undiscovered,,,120
150,Mega Mewtwo X,Kanto,1,Legendary,Genetic Pokémon,2,Psychic,Fighting,2.3,127,1,Steadfast,,,780,106,190,100,154,100,130,3,0,351,Slow,1,Undiscovered,,,120
150,Mega Mewtwo Y,Kanto,1,Legendary,Genetic Pokémon,1,Psychic,,1.5,33,1,Insomnia,,,780,106,150,70,194,120,140,3,0,351,Slow,1,Undiscovered,,,120
151,Mew,Kanto,1,Mythical,New Species Pokémon,1,Psychic,,0.4,4,1,Synchronize,,,600,100,100,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120
152,Chikorita,Johto,2,Normal,Leaf Pokémon,1,Grass,,0.9,6.4,2,Overgrow,,Leaf Guard,318,45,49,65,49,65,45,45,70,64,Medium Slow,2,Grass,Monster,87.5,20
153,Bayleef,Johto,2,Normal,Leaf Pokémon,1,Grass,,1.2,15.8,2,Overgrow,,Leaf Guard,405,60,62,80,63,80,60,45,70,142,Medium Slow,2,Grass,Monster,87.5,20
154,Meganium,Johto,2,Normal,Herb Pokémon,1,Grass,,1.8,100.5,2,Overgrow,,Leaf Guard,525,80,82,100,83,100,80,45,70,236,Medium Slow,2,Grass,Monster,87.5,20
155,Cyndaquil,Johto,2,Normal,Fire Mouse Pokémon,1,Fire,,0.5,7.9,2,Blaze,,Flash Fire,309,39,52,43,60,50,65,45,70,62,Medium Slow,1,Field,,87.5,20
156,Quilava,Johto,2,Normal,Volcano Pokémon,1,Fire,,0.9,19,2,Blaze,,Flash Fire,405,58,64,58,80,65,80,45,70,142,Medium Slow,1,Field,,87.5,20
157,Typhlosion,Johto,2,Normal,Volcano Pokémon,1,Fire,,1.7,79.5,2,Blaze,,Flash Fire,534,78,84,78,109,85,100,45,70,240,Medium Slow,1,Field,,87.5,20
158,Totodile,Johto,2,Normal,Big Jaw Pokémon,1,Water,,0.6,9.5,2,Torrent,,Sheer Force,314,50,65,64,44,48,43,45,70,63,Medium Slow,2,Monster,Water 1,87.5,20
159,Croconaw,Johto,2,Normal,Big Jaw Pokémon,1,Water,,1.1,25,2,Torrent,,Sheer Force,405,65,80,80,59,63,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20
160,Feraligatr,Johto,2,Normal,Big Jaw Pokémon,1,Water,,2.3,88.8,2,Torrent,,Sheer Force,530,85,105,100,79,83,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20
161,Sentret,Johto,2,Normal,Scout Pokémon,1,Normal,,0.8,6,3,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,255,70,43,Medium Fast,1,Field,,50,15
162,Furret,Johto,2,Normal,Long Body Pokémon,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,90,70,145,Medium Fast,1,Field,,50,15
163,Hoothoot,Johto,2,Normal,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,255,70,52,Medium Fast,1,Flying,,50,15
164,Noctowl,Johto,2,Normal,Owl Pokémon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,90,70,158,Medium Fast,1,Flying,,50,15
165,Ledyba,Johto,2,Normal,Five Star Pokémon,2,Bug,Flying,1,10.8,3,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,255,70,53,Fast,1,Bug,,50,15
166,Ledian,Johto,2,Normal,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,90,70,137,Fast,1,Bug,,50,15
167,Spinarak,Johto,2,Normal,String Spit Pokémon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,255,70,50,Fast,1,Bug,,50,15
168,Ariados,Johto,2,Normal,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,90,70,140,Fast,1,Bug,,50,15
169,Crobat,Johto,2,Normal,Bat Pokémon,2,Poison,Flying,1.8,75,2,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,90,70,241,Medium Fast,1,Flying,,50,15
170,Chinchou,Johto,2,Normal,Angler Pokémon,2,Water,Electric,0.5,12,3,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,190,70,66,Slow,1,Water 2,,50,20
171,Lanturn,Johto,2,Normal,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,75,70,161,Slow,1,Water 2,,50,20
172,Pichu,Johto,2,Normal,Tiny Mouse Pokémon,1,Electric,,0.3,2,2,Static,,Lightning Rod,205,20,40,15,35,35,60,190,70,41,Medium Fast,1,Undiscovered,,50,10
173,Cleffa,Johto,2,Normal,Star Shape Pokémon,1,Fairy,,0.3,3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,150,140,44,Fast,1,Undiscovered,,25,10
174,Igglybuff,Johto,2,Normal,Balloon Pokémon,2,Normal,Fairy,0.3,1,3,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,170,70,42,Fast,1,Undiscovered,,25,10
175,Togepi,Johto,2,Normal,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,190,70,49,Fast,1,Undiscovered,,87.5,10
176,Togetic,Johto,2,Normal,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,75,70,142,Fast,2,Fairy,Flying,87.5,10
177,Natu,Johto,2,Normal,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2,3,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,190,70,64,Medium Fast,1,Flying,,50,20
178,Xatu,Johto,2,Normal,Mystic Pokémon,2,Psychic,Flying,1.5,15,3,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,75,70,165,Medium Fast,1,Flying,,50,20
179,Mareep,Johto,2,Normal,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,,Plus,280,55,40,40,65,45,35,235,70,56,Medium Slow,2,Field,Monster,50,20
180,Flaaffy,Johto,2,Normal,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,,Plus,365,70,55,55,80,60,45,120,70,128,Medium Slow,2,Field,Monster,50,20
181,Ampharos,Johto,2,Normal,Light Pokémon,1,Electric,,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,45,70,230,Medium Slow,2,Field,Monster,50,20
181,Mega Ampharos,Johto,2,Normal,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,165,110,45,45,70,275,Medium Slow,2,Field,Monster,50,20
182,Bellossom,Johto,2,Normal,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,45,70,221,Medium Slow,1,Grass,,50,20
183,Marill,Johto,2,Normal,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190,70,88,Fast,2,Fairy,Water 1,50,10
184,Azumarill,Johto,2,Normal,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75,70,189,Fast,2,Fairy,Water 1,50,10
185,Sudowoodo,Johto,2,Normal,Imitation Pokémon,1,Rock,,1.2,38,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65,70,144,Medium Fast,1,Mineral,,50,20
186,Politoed,Johto,2,Normal,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45,70,225,Medium Slow,1,Water 1,,50,20
187,Hoppip,Johto,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255,70,50,Medium Slow,2,Fairy,Grass,50,20
188,Skiploom,Johto,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.6,1,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120,70,119,Medium Slow,2,Fairy,Grass,50,20
189,Jumpluff,Johto,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.8,3,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45,70,207,Medium Slow,2,Fairy,Grass,50,20
190,Aipom,Johto,2,Normal,Long Tail Pokémon,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45,70,72,Fast,1,Field,,50,20
191,Sunkern,Johto,2,Normal,Seed Pokémon,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235,70,36,Medium Slow,1,Grass,,50,20
192,Sunflora,Johto,2,Normal,Sun Pokémon,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120,70,149,Medium Slow,1,Grass,,50,20
193,Yanma,Johto,2,Normal,Clear Wing Pokémon,2,Bug,Flying,1.2,38,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75,70,78,Medium Fast,1,Bug,,50,20
194,Wooper,Johto,2,Normal,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255,70,42,Medium Fast,2,Field,Water 1,50,20
195,Quagsire,Johto,2,Normal,Water Fish Pokémon,2,Water,Ground,1.4,75,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90,70,151,Medium Fast,2,Field,Water 1,50,20
196,Espeon,Johto,2,Normal,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45,70,184,Medium Fast,1,Field,,87.5,35
197,Umbreon,Johto,2,Normal,Moonlight Pokémon,1,Dark,,1,27,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45,35,184,Medium Fast,1,Field,,87.5,35
198,Murkrow,Johto,2,Normal,Darkness Pokémon,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,30,35,81,Medium Slow,1,Flying,,50,20
199,Slowking,Johto,2,Normal,Royal Pokémon,2,Water,Psychic,2,79.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,70,70,172,Medium Fast,2,Monster,Water 1,50,20
200,Misdreavus,Johto,2,Normal,Screech Pokémon,1,Ghost,,0.7,1,1,Levitate,,,435,60,60,60,85,85,85,45,35,87,Fast,1,Amorphous,,50,25
201,Unown,Johto,2,Normal,Symbol Pokémon,1,Psychic,,0.5,5,1,Levitate,,,336,48,72,48,72,48,48,225,70,118,Medium Fast,1,Undiscovered,,,40
202,Wobbuffet,Johto,2,Normal,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45,70,142,Medium Fast,1,Amorphous,,50,20
203,Girafarig,Johto,2,Normal,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60,70,159,Medium Fast,1,Field,,50,20
204,Pineco,Johto,2,Normal,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190,70,58,Medium Fast,1,Bug,,50,20
205,Forretress,Johto,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75,70,163,Medium Fast,1,Bug,,50,20
206,Dunsparce,Johto,2,Normal,Land Snake Pokémon,1,Normal,,1.5,14,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190,70,145,Medium Fast,1,Field,,50,20
207,Gligar,Johto,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60,70,86,Medium Slow,1,Bug,,50,20
208,Steelix,Johto,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25,70,179,Medium Fast,1,Mineral,,50,25
208,Mega Steelix,Johto,2,Normal,Iron Snake Pokémon,2,Steel,Ground,10.5,740,1,Sand Force,,,610,75,125,230,55,95,30,25,70,214,Medium Fast,1,Mineral,,50,25
209,Snubbull,Johto,2,Normal,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190,70,60,Fast,2,Fairy,Field,25,20
210,Granbull,Johto,2,Normal,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75,70,158,Fast,2,Fairy,Field,25,20
211,Qwilfish,Johto,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45,70,88,Medium Fast,1,Water 2,,50,20
212,Scizor,Johto,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25,70,175,Medium Fast,1,Bug,,50,25
212,Mega Scizor,Johto,2,Normal,Pincer Pokémon,2,Bug,Steel,2,125,1,Technician,,,600,70,150,140,65,100,75,25,70,210,Medium Fast,1,Bug,,50,25
213,Shuckle,Johto,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190,70,177,Medium Slow,1,Bug,,50,20
214,Heracross,Johto,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45,70,175,Slow,1,Bug,,50,25
214,Mega Heracross,Johto,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600,80,185,115,40,105,75,45,70,210,Slow,1,Bug,,50,25
215,Sneasel,Johto,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60,35,86,Medium Slow,1,Field,,50,20
216,Teddiursa,Johto,2,Normal,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120,70,66,Medium Fast,1,Field,,50,20
217,Ursaring,Johto,2,Normal,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60,70,175,Medium Fast,1,Field,,50,20
218,Slugma,Johto,2,Normal,Lava Pokémon,1,Fire,,0.7,35,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190,70,50,Medium Fast,1,Amorphous,,50,20
219,Magcargo,Johto,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75,70,151,Medium Fast,1,Amorphous,,50,20
220,Swinub,Johto,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225,70,50,Slow,1,Field,,50,20
221,Piloswine,Johto,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75,70,158,Slow,1,Field,,50,20
222,Corsola,Johto,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60,70,144,Fast,2,Water 1,Water 3,25,20
222,Galarian Corsola,Johto,2,Normal,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,,,,Fast,2,Water 1,Water 3,,20
223,Remoraid,Johto,2,Normal,Jet Pokémon,1,Water,,0.6,12,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,70,60,Medium Fast,2,Water 1,Water 2,50,20
